time;gamma_s;omega_s;elv_beam;azi_beam;reverse;dtime;backlash_gamma
2025-08-07 05:15:57;235.563409157226;11.67220614963159;11.598218577571645;78.29101265267803;False;-0.3570190318402721;0.0007335288618491
2025-08-07 05:19:15;56.180887638015;167.83410882981042;12.133691392377797;78.88330971819106;True;0.0140681988808693;-0.0901833039738302
2025-08-07 05:45:59;240.965526095621;16.575474640424325;16.515066859476114;83.69654684919341;False;-0.3040949176182244;-0.0127038767666559
2025-08-07 05:49:17;61.618129368171;162.92701128552244;17.060109000081816;84.29427666158674;True;-0.3175146740159017;-0.0112446393198133
2025-08-07 06:15:53;246.426470115466;21.517176190323664;21.472649387591392;89.16614411165577;False;-0.3110226714655548;-0.0130241192683906
2025-08-07 06:19:10;67.114202196314;157.97597744238527;22.018662789793808;89.77608284450363;True;-0.322080123335519;-0.0106948980976505
2025-08-07 06:45:54;252.101528618756;26.48997726171467;26.46131627639993;94.84198482493414;False;-0.3043303705223321;-0.0140112311112285
2025-08-07 06:49:13;72.839527885486;152.9980598480011;27.01104298227485;95.48521313535636;True;-0.3099696350582566;-0.0125033610061086
2025-08-07 07:15:54;258.065660405874;31.41950789544933;31.406526912434064;100.81355000448087;False;-0.300753015795461;-0.0158256122535039
2025-08-07 07:19:10;78.857343032403;148.07987369114082;31.94011260390192;101.48737783832708;True;-0.3505683786311578;-0.0045409848482885
2025-08-07 07:45:53;264.46411464899;36.23423934139368;36.24860454300747;107.21693366586638;False;-0.2939590097174002;-0.018134267560986
2025-08-07 07:49:06;85.317683332262;143.27758735239456;36.75923462421937;107.93633065675026;True;-0.3277063952931675;-0.0091023195732885
2025-08-07 08:15:48;271.429915492284;40.88166439359588;40.907493442546;114.20391613966368;False;-0.3156295000890504;-0.0119844899514715
2025-08-07 08:18:57;92.372244253298;138.66521162044833;41.38448795965962;114.982027136224;True;-0.0015628230315472;-0.0808091366769448
2025-08-07 08:45:45;279.198882746074;45.27060411443755;45.307046021102224;121.99190530957704;False;0.0050802009849164;-0.0856790116398263
2025-08-07 08:48:56;100.28101351615;134.29661438879276;45.75447874216475;122.87524331750704;True;-0.3305796268630073;-0.0101716243113858
2025-08-07 09:15:43;287.985969795929;49.28482614569579;49.324769126146656;130.7966524140017;False;-0.2859201009790258;-0.0186936571792749
2025-08-07 09:18:48;109.186627734954;130.3441049559747;49.71057560835016;131.76875197573742;True;-0.2833703978816773;-0.0200753200916151
2025-08-07 09:45:42;297.990663748717;52.74617963712238;52.806559149907336;140.82811578960613;False;-0.3039719411905183;-0.0116113390348049
2025-08-07 09:48:48;119.366380423218;126.93653850855203;53.1286042786666;141.94122598429155;True;-0.300474163947065;-0.0165888544755761
2025-08-07 10:15:40;309.324502571293;55.49194563311105;55.5618109740695;152.19489047018905;False;-0.3581550786215477;-0.0010732077800489
2025-08-07 10:18:47;130.864123705392;124.26687988163064;55.79859419652914;153.452915673053;True;-0.2845943802981064;-0.0185688408526275
2025-08-07 10:45:40;321.909976357518;57.299508008762615;57.39262533995474;164.82058841308205;False;-0.3640427958450931;0.0015517166019352
2025-08-07 10:48:45;143.564244617611;122.5551633547089;57.52078486840235;166.1750536348464;True;-0.2814678916329683;-0.0209654728612143
2025-08-07 11:15:32;335.25698603687;58.0193703671992;58.123718953171206;178.2046596275383;False;-0.3526627391116801;0.0001280283938651
2025-08-07 11:18:32;156.925939179704;121.94159934442034;58.132856405440045;179.56781753865857;True;-0.2737919126665348;-0.0187462987673783
2025-08-07 11:45:38;348.827324274581;57.58639783730071;57.67931432303583;191.79296236336435;False;-0.3284839545562603;-0.0074885921609812
2025-08-07 11:48:46;170.50169966572;122.5047555507301;57.56573658212999;193.18086956097017;True;-0.3023829373437011;-0.0135372172095235
2025-08-07 12:15:38;1.687175021654;56.03425435645313;56.10490095668251;204.67419363417656;False;-0.3650046874110378;0.0005345830226805
2025-08-07 12:18:48;183.252693221061;124.17430398473266;55.87845902818655;205.9710223384248;True;-0.0048760920622242;-0.0721059816782572
2025-08-07 12:45:33;13.372450073249;53.51455249849592;53.56290520257546;216.350024596665;False;-0.3643244276403099;0.0025111745575253
2025-08-07 12:48:31;194.704366300955;126.7707031180266;53.26541892295685;217.43510013317268;True;-0.353115873673768;-0.0002966087814675
2025-08-07 13:15:40;23.796917065247;50.19211165544505;50.2241382841835;226.7522219330557;False;-0.3530997299206564;0.0011336374187324
2025-08-07 13:18:47;205.010004438491;130.1784953323805;49.84200407921698;227.75303334106297;True;-0.3295902327253783;-0.0079390534415837
2025-08-07 13:45:41;32.920797349029;46.30548395324808;46.31211845097183;235.85058464333824;False;-0.3595277409775059;0.0003091197914177
2025-08-07 13:48:48;213.978719490911;134.11978392588605;45.87937382165842;236.73014331688407;True;-0.3302177739667631;-0.0057239455802699
2025-08-07 14:15:39;40.972903947416;42.00539715629144;41.98712445207303;243.8661043756592;False;-0.3500677691673411;-8.818721914631949e-05
2025-08-07 14:18:42;221.887919244007;138.45759773605266;41.52870883348511;244.6308480192569;True;-0.3223622986633601;-0.0090590016484976
2025-08-07 14:45:39;48.186221066606;37.386005719655984;37.36497327515054;251.04277308473056;False;-0.3692648334541686;0.0044263195817335
2025-08-07 14:48:42;228.998138757313;143.10657371909008;36.88274474000632;251.73311826814887;True;-0.3253416375441468;-0.0083086866703045
2025-08-07 15:15:37;54.740651201713;32.58636545873929;32.55404308531959;257.56720938622726;False;-0.3292877024192523;-0.0071940738260607
2025-08-07 15:18:42;235.47726796854693;147.92387023901884;32.05123700436754;258.2091130579364;True;-0.3528997091485939;-0.0001586307841681
2025-08-07 15:45:38;60.821884385318;27.665832605490607;27.617609928380173;263.6296855674451;False;-0.3269234082896765;-0.0087935298570256
2025-08-07 15:48:42;241.489335402764;152.8571676104518;27.10921165182061;264.22830294501046;True;-0.3602736909101686;0.0020855460770229
2025-08-07 16:15:42;66.589064363057;22.671070749417336;22.61762819754024;269.3715186495709;False;-0.299370793221041;-0.0162409540729456
2025-08-07 16:18:46;247.200798740106;157.85675346017933;22.106712346549216;269.94344539702627;True;-0.2992973996249608;-0.0165343268902614
2025-08-07 16:45:43;72.127494924935;17.684609698671444;17.624545250138166;274.8927724158821;False;-0.3620611726012532;0.0010369690856002
2025-08-07 16:48:54;252.72533133916696;162.86240857064018;17.097017316130795;275.4702277355604;True;-0.3518105056135631;-0.0025381486159992
2025-08-07 17:15:47;77.557586498847;12.741526998212755;12.672739747958843;280.31270398491097;False;-0.3545900816208083;8.047128002536255e-05
2025-08-07 17:18:55;258.123761644011;167.7938878150744;12.16172441698266;280.87479154257403;True;-0.3102066287680475;-0.0140074810682262
2025-08-07 17:45:43;82.947864551627;7.922631633002795;7.84961230940169;285.68542733168096;False;-0.3648057550582887;0.0010186953992479
2025-08-07 17:48:46;263.48311018124;172.5778493688135;7.367251125748108;286.23466479751823;True;-0.3533005576949291;0.0002783042968252
